*    Row   *   EventNo * Antineutr * Positron_ * Neutron_K *  Vertex_X *  Vertex_Y *  Vertex_Z * Annihilat * Annihilat * Annihilat * Annihilat *
*        0 *         0 * 6.4886765 * 4.6415069 * 0.0411695 * -242.8244 * 232.08556 * -83.77556 * -233.8232 * 226.36732 * -87.62000 * 0.0655888 *
*        1 *         1 * 5.3910843 * 3.5814075 * 0.0036768 * 18.930676 * 155.00676 * -330.8610 * 23.506874 * 158.93088 * -318.6534 * 0.0734316 *
*        2 *         2 * 5.0670267 * 3.2590579 * 0.0019688 * 484.24818 * 128.53733 * 302.88228 * 482.09263 * 122.87522 * 317.65984 * 0.0616409 *
*        3 *         3 * 4.8154806 * 3.0082299 * 0.0012507 * 316.43581 * -485.1717 * 347.13927 * 318.38511 * -483.1885 * 360.06439 * 0.0551623 *
*        4 *         4 * 3.2415931 * 1.4247538 * 0.0108392 * -295.0968 * -327.6144 * -149.4078 * -292.2412 * -328.0347 * -154.0878 * 0.0237932 *
*        5 *         5 * 4.9194391 * 3.0878518 * 0.0255872 * -246.3235 * -405.5483 * -57.77543 * -256.4806 * -399.9560 * -62.18225 * 0.0618542 *
*        6 *         6 * 3.0721431 * 1.2605489 * 0.0055941 * 359.47453 * -412.2279 * 126.28762 * 357.50447 * -409.9227 * 122.74553 * 0.0225011 *
*        7 *         7 * 6.2970341 * 4.4502027 * 0.0408314 *  16.85467 * 482.19825 * 135.09728 * 10.752104 * 494.00369 * 130.37682 * 0.0835007 *
*        8 *         8 * 6.0119704 * 4.2030558 * 0.0029145 * 369.33717 * 358.21898 * 196.79309 * 366.79045 * 356.34004 * 201.70595 * 0.0198465 *
*        9 *         9 * 2.1117369 * 0.3019503 * 0.0037866 * -376.2766 * -422.9963 * 493.62858 * -376.1085 * -423.1361 * 493.02178 * 0.0043330 *
*       10 *        10 * 3.7026887 * 1.8793308 * 0.0173578 * -25.87085 * -292.0953 * -328.1186 * -28.00022 * -291.0117 * -331.5354 * 0.0338210 *
*       11 *        11 * 6.0615821 * 4.1947634 * 0.0608187 * 455.42474 * -198.9782 * 431.51115 * 455.40947 * -202.5886 * 414.12825 * 0.0683820 *
*       12 *        12 * 2.9285061 * 1.1151907 * 0.0073153 * 491.55641 * -465.7650 * -234.5573 * 493.16583 * -467.1544 * -237.4417 * 0.0207471 *
*       13 *        13 * 5.6899478 * 3.8508742 * 0.0330735 * -233.4415 * -406.2512 * -496.0069 * -225.2316 * -393.2305 * -490.6516 * 0.0718816 *
*       14 *        14 * 3.4521790 * 1.6433975 * 0.0027815 * -124.9693 * -480.3987 * -120.9137 * -125.8866 * -485.2890 * -116.5948 * 0.0329095 *
*       15 *        15 * 4.2774914 * 2.4517664 * 0.0197249 * 184.74511 * -175.1687 * 466.05944 * 178.33151 * -168.7623 * 461.28891 * 0.0502089 *
*       16 *        16 * 4.5965925 * 2.7802333 * 0.0103592 * 153.45240 * 161.76676 * -494.6223 * 148.92372 * 164.06290 * -488.7816 * 0.0366321 *
*       17 *        17 * 2.0754239 * 0.2667138 * 0.0027101 * 499.05786 * 417.55915 * -433.4370 * 499.11855 * 416.95818 * -433.3973 * 0.0039067 *
