*    Row   *   EventNo * ParticleI *    Energy * Direction * Direction * Direction * Position_ * Position_ * Position_ *  costheta *     theta *       phi *
*        0 *         0 *      2112 * 0.0027216 * 0.0581974 * -0.993479 * -0.098037 * -456.0469 *       750 * 351.36949 * 0.9934795 * 6.5465319 * 300.69437 *
*        1 *         1 *      2112 * 0.0021657 * 0.4598678 * -0.850589 * -0.254988 * 499.10062 *       750 * -9.078120 * 0.8505894 * 31.724156 * 330.99242 *
*        2 *         2 *      2112 * 0.0001659 * -0.885897 * -0.076556 * 0.4575205 * 212.19932 *       750 * -412.7268 * 0.0765564 * 85.609344 * 152.68596 *
*        3 *         3 *      2112 * 0.0006808 * -0.142749 * -0.766650 * 0.6259947 * 110.30020 *       750 * 564.67386 * 0.7666505 * 39.945944 * 102.84589 *
*        4 *         4 *      2112 * 0.0004976 * 0.1311340 * -0.813506 * -0.566577 * -365.8843 *       750 * -155.0154 * 0.8135069 * 35.560000 * 283.03160 *
*        5 *         5 *      2112 * 0.0180842 * 0.6498266 * 0.0596171 * 0.7577407 * -471.6219 *       750 * -229.7600 * -0.059617 * 93.417836 * 49.384125 *
*        6 *         6 *      2112 * 0.0118737 * -0.856733 * 0.4685174 * 0.2156359 * -660.1924 *       750 * -592.3730 * -0.468517 * 117.93810 * 165.87236 *
*        7 *         7 *      2112 * 0.0353672 * 0.0818529 * -0.122562 * -0.989079 * 294.20332 *       750 * 191.07016 * 0.1225624 * 82.959989 * 274.73083 *
*        8 *         8 *      2112 * 0.0007663 * -0.994958 * 0.0853856 * 0.0526066 * -702.5797 *       750 * -34.73620 * -0.085385 * 94.898201 * 176.97340 *
*        9 *         9 *      2112 * 0.0143407 * -0.470884 * -0.880718 * 0.0510165 * 727.10439 *       750 * 503.16480 * 0.8807184 * 28.270852 * 173.81658 *
*       10 *        10 *      2112 * 0.0035637 * -0.381380 * -0.011203 * -0.924350 * -89.60876 *       750 * 446.47373 * 0.0112039 * 89.358046 * 247.57932 *
*       11 *        11 *      2112 * 0.0097539 * -0.763437 * 0.4546021 * -0.458803 * 220.99713 *       750 * -264.6834 * -0.454602 * 117.03933 * 211.00462 *
*       12 *        12 *      2112 * 0.6127004 * -0.151429 * -0.981951 * 0.1133168 * -275.1177 *       750 * -310.9404 * 0.9819513 * 10.902224 * 143.19189 *
*       13 *        13 *      2112 * 0.0001059 * 0.1499869 * -0.961213 * 0.2314565 * 727.36226 *       750 * 678.63490 * 0.9612137 * 16.009970 * 57.056218 *
*       14 *        14 *      2112 * 0.0009847 * -0.881400 * -0.107524 * -0.459969 * 567.11161 *       750 * 23.426515 * 0.1075247 * 83.827349 * 207.55835 *
*       15 *        15 *      2112 * 0.0001241 * 0.5654954 * -0.653618 * -0.502988 * 721.92194 *       750 * -325.0937 * 0.6536186 * 49.185007 * 318.34801 *
*       16 *        16 *      2112 * 0.0009202 * 0.8411991 * -0.492678 * 0.2228260 * -586.7703 *       750 * 637.36717 * 0.4926789 * 60.483185 * 14.836390 *
*       17 *        17 *      2112 * 0.0660894 * 0.8747759 * -0.465043 * 0.1360223 * 683.78834 *       750 * 411.13530 * 0.4650430 * 62.286993 * 8.8383687 *
*       18 *        18 *      2112 * 0.0032411 * -0.136972 * -0.990504 * -0.011777 * -298.4848 *       750 * 593.97262 * 0.9905048 * 7.9019032 * 184.91464 *
*       19 *        19 *      2112 * 739.93746 * -0.464024 * -0.874676 * 0.1400835 * 476.79523 *       750 * -611.8703 * 0.8746760 * 28.993342 * 163.20153 *
*       20 *        20 *      2112 * 0.0002265 * -0.194094 * -0.832106 * -0.519544 * -740.7010 *       750 * -62.56138 * 0.8321062 * 33.684287 * 249.51504 *
*       21 *        21 *      2112 * 0.0002195 * -0.345166 * -0.907824 * 0.2381462 * -499.5668 *       750 * -455.6951 * 0.9078249 * 24.793508 * 145.39644 *
*       22 *        22 *      2112 * 0.0002321 * -0.763125 * 0.3766780 * -0.525121 * -170.5842 *       750 * 29.219922 * -0.376678 * 112.12806 * 214.53260 *
*       23 *        23 *      2112 * 0.0021348 * -0.196696 * -0.979176 * 0.0502329 * -199.0728 *       750 *  3.514823 * 0.9791767 * 11.713004 * 165.67385 *
*       24 *        24 *      2112 * 0.0001275 * -0.022519 * 0.1458389 *  0.989052 * -74.14337 *       750 * -163.5202 * -0.145838 * 98.385862 * 91.304354 *
*       25 *        25 *      2112 * 0.1350517 * 0.2500467 * -0.749229 * -0.613295 * 116.32284 *       750 * -431.7801 * 0.7492299 * 41.476279 * 292.18122 *
*       26 *        26 *      2112 * 6.8611232 * 0.1247100 * -0.976040 * 0.1783053 * 134.52551 *       750 * -405.8514 * 0.9760402 * 12.567521 * 55.030343 *
*       27 *        27 *      2112 * 0.0002072 * 0.4584096 * -0.271708 * 0.8461884 * -459.1015 *       750 * 207.30864 * 0.2717088 * 74.234022 * 61.554054 *
*       28 *        28 *      2112 * 0.0614757 * 0.1458802 * -0.548227 * 0.8235081 * -268.1396 *       750 * -642.1295 * 0.5482274 * 56.754506 * 79.954553 *
*       29 *        29 *      2112 * 0.0001970 * -0.907459 * -0.300432 * 0.2936966 * -162.1847 *       750 * -706.0894 * 0.3004320 * 72.516444 * 162.06597 *
*       30 *        30 *      2112 * 0.2414964 * -0.742288 * 0.1645100 * -0.649572 * 11.966996 *       750 * 210.86718 * -0.164510 * 99.468770 * 221.18898 *
*       31 *        31 *      2112 * 0.0003184 * 0.1493246 * 0.5660222 * -0.810753 * 392.44515 *       750 * 342.89806 * -0.566022 * 124.47330 * 280.43579 *
*       32 *        32 *      2112 * 0.0323246 * 0.0353901 * -0.999255 * -0.015375 * -306.8826 *       750 * -214.2717 * 0.9992552 * 2.2113510 * 336.51732 *
*       33 *        33 *      2112 * 278.51179 * 0.3379199 * -0.436854 * 0.8336474 * -118.9953 *       750 * 416.97181 * 0.4368546 * 64.096633 * 67.934772 *
*       34 *        34 *      2112 * 0.0043007 * 0.6920271 * -0.668039 * -0.273536 * -444.2679 *       750 * 693.77024 * 0.6680392 * 48.084090 * 338.43270 *
*       35 *        35 *      2112 * 0.7747882 * -0.720599 * -0.366364 * -0.588654 * -154.3098 *       750 * 696.87030 * 0.3663649 * 68.508391 * 219.24522 *
*       36 *        36 *      2112 * 0.0277495 * 0.1646516 * -0.840501 * 0.5161849 * 393.92845 *       750 * -7.817524 * 0.8405016 * 32.806874 * 72.308454 *
*       37 *        37 *      2112 * 0.0003886 * 0.0906279 * -0.931646 * 0.3518836 * 749.93333 *       750 * -76.58842 * 0.9316461 * 21.307113 * 75.557302 *
*       38 *        38 *      2112 * 0.0015980 * 0.0458917 * 0.2099793 * -0.976628 * 682.45013 *       750 * 481.81301 * -0.209979 * 102.12114 * 272.69034 *
*       39 *        39 *      2112 * 0.0003596 * -0.239973 * -0.901151 * -0.361023 * 651.59100 *       750 * 122.21673 * 0.9011519 * 25.690101 * 236.38783 *
*       40 *        40 *      2112 * 0.0001544 * 0.6751511 * 0.1935237 * 0.7118423 * -25.51259 *       750 * -711.4489 * -0.193523 * 101.15849 * 46.515335 *
*       41 *        41 *      2112 * 0.0284908 * 0.6102822 * -0.764887 * -0.206163 * -414.9934 *       750 * -445.8353 * 0.7648871 * 40.103047 * 341.33420 *
*       42 *        42 *      2112 * 6.1128119 * -0.758817 * -0.293014 * 0.5816683 * 55.637865 *       750 * -98.52624 * 0.2930147 * 72.961466 * 142.52819 *
*       43 *        43 *      2112 * 0.0004017 * -0.017837 * -0.977633 * -0.209558 * 609.35415 *       750 * -664.0327 * 0.9776333 * 12.140907 * 265.13471 *
*       44 *        44 *      2112 * 0.2525696 * 0.2034151 * -0.979006 * 0.0129618 * 434.90877 *       750 * 720.84844 * 0.9790067 * 11.760883 * 3.6460200 *
*       45 *        45 *      2112 * 0.0008335 * 0.4912017 * 0.3697813 * 0.7886587 * -356.4593 *       750 * 566.49105 * -0.369781 * 111.70213 * 58.084036 *
*       46 *        46 *      2112 * 0.0026246 * -0.260570 * -0.863118 * 0.4325851 * 280.16968 *       750 * 467.27381 * 0.8631181 * 30.331487 * 121.06297 *
*       47 *        47 *      2112 * 0.8105838 * -0.590482 * -0.727644 * -0.349091 * -384.3708 *       750 * 659.43317 * 0.7276440 * 43.310754 * 210.59143 *
